               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.027814,           0.0068911,          0.00050794,             0.94769,             0.88861,             0.94673,              0.6674,            0.025342,           0.0088539,          0.00044495,             0.00112,             0.00112,             0.08992
                   1,            0.028941,           0.0070534,          0.00054022,             0.94227,             0.88877,              0.9453,             0.64569,            0.027712,           0.0090551,          0.00048517,            0.002248,            0.002248,            0.079748
                   2,            0.029482,           0.0068588,          0.00054973,             0.94857,              0.8782,             0.94206,             0.64601,            0.029212,           0.0092169,          0.00055061,            0.003368,            0.003368,            0.069568
                   3,            0.031452,            0.007393,           0.0005994,             0.91391,             0.89313,              0.9356,              0.6229,            0.030153,            0.009347,          0.00055738,           0.0044741,           0.0044741,            0.059374
                   4,            0.031303,           0.0074817,          0.00061473,             0.93462,             0.89093,             0.94554,             0.63442,            0.028315,            0.009294,          0.00061923,           0.0055603,           0.0055603,             0.04916
                   5,            0.032702,            0.008553,          0.00075093,             0.92856,             0.88521,              0.9381,             0.62936,             0.02822,           0.0095184,          0.00067896,           0.0066209,           0.0066209,            0.038921
                   6,            0.032731,           0.0091945,          0.00084561,             0.91304,             0.85898,             0.91823,             0.56861,            0.032603,            0.009878,          0.00077977,           0.0076504,           0.0076504,             0.02865
                   7,            0.033327,           0.0094325,          0.00099254,             0.88115,             0.85936,              0.9077,             0.59443,            0.028234,           0.0099412,          0.00078604,           0.0086433,           0.0086433,            0.018343
                   8,            0.033898,           0.0098431,           0.0012092,             0.84368,              0.7854,             0.85052,             0.49312,            0.033969,            0.011487,           0.0015187,           0.0094434,           0.0094434,           0.0094434
                   9,            0.034031,           0.0091605,           0.0013839,             0.82375,             0.75436,             0.82325,             0.45912,            0.035203,            0.011976,           0.0016128,           0.0094434,           0.0094434,           0.0094434
                  10,            0.033292,             0.00851,            0.001225,             0.90287,             0.83381,             0.90361,             0.56651,            0.030721,            0.010492,           0.0010017,           0.0092995,           0.0092995,           0.0092995
                  11,            0.032939,           0.0093253,           0.0011306,             0.84743,             0.86031,             0.90181,             0.57038,            0.029311,            0.010315,          0.00088864,           0.0091406,           0.0091406,           0.0091406
                  12,            0.032051,           0.0086339,           0.0010763,             0.86972,             0.84529,              0.8969,             0.57355,            0.029992,            0.010189,          0.00089069,           0.0089673,           0.0089673,           0.0089673
                  13,            0.032416,           0.0090858,           0.0011377,             0.90033,             0.84228,             0.90369,             0.58883,            0.028773,            0.010078,          0.00085033,           0.0087804,           0.0087804,           0.0087804
                  14,            0.031716,           0.0089069,           0.0011562,             0.88451,             0.78078,              0.8597,             0.54677,            0.030226,             0.01072,           0.0010372,           0.0085805,           0.0085805,           0.0085805
