               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094573,            0.058897,            0.019409,             0.20325,             0.39949,             0.19816,            0.047235,            0.069379,            0.082556,            0.011385,             0.00074,             0.00074,             0.09334
                   1,             0.07422,            0.044698,           0.0086062,             0.63013,             0.33623,             0.33257,            0.098668,            0.059908,            0.062924,             0.00604,           0.0014897,           0.0014897,             0.08659
                   2,            0.065692,            0.045391,           0.0066905,             0.75421,             0.37136,             0.45509,             0.18102,            0.056586,            0.062288,           0.0052117,            0.002238,            0.002238,            0.079838
                   3,            0.061454,            0.047104,           0.0057511,             0.69081,             0.46809,             0.54559,             0.22881,            0.048554,            0.058035,           0.0046111,            0.002984,            0.002984,            0.073084
                   4,            0.056917,            0.046787,           0.0051369,             0.47647,             0.50732,              0.5047,             0.21519,            0.056198,            0.056336,           0.0040488,           0.0037267,           0.0037267,            0.066327
                   5,            0.053987,            0.040554,           0.0044894,             0.68533,             0.55535,             0.62316,             0.29854,             0.04384,            0.053915,           0.0034046,           0.0044651,           0.0044651,            0.059565
                   6,            0.052117,            0.043689,           0.0041821,             0.72115,             0.65768,             0.70004,             0.35432,            0.040971,            0.055918,           0.0032491,           0.0051982,           0.0051982,            0.052798
                   7,            0.049188,            0.043389,           0.0036168,             0.81473,             0.58358,             0.69981,             0.34927,            0.040518,             0.05362,           0.0031762,           0.0059251,           0.0059251,            0.046025
                   8,              0.0481,            0.041714,            0.003481,             0.74607,             0.65139,             0.71998,             0.36933,            0.038832,            0.053218,           0.0027975,           0.0066447,           0.0066447,            0.039245
                   9,            0.046651,            0.040507,           0.0033447,             0.70317,             0.68594,              0.7159,             0.36407,            0.037987,            0.053864,           0.0027372,           0.0073562,           0.0073562,            0.032456
                  10,            0.045194,            0.043163,           0.0032066,             0.73238,             0.64036,             0.69637,             0.36741,            0.037985,            0.054736,           0.0027894,           0.0080585,           0.0080585,            0.025659
                  11,            0.043571,            0.039322,           0.0030433,             0.74742,             0.72763,             0.77517,             0.40967,            0.036023,            0.051503,           0.0024561,           0.0087508,           0.0087508,            0.018851
                  12,            0.042428,            0.042345,           0.0031492,             0.79017,             0.66709,             0.73916,             0.36286,            0.040401,            0.054367,           0.0024278,           0.0094322,           0.0094322,            0.012032
                  13,            0.042415,            0.044269,           0.0030498,             0.80371,             0.67945,              0.7563,             0.39942,            0.037045,            0.053225,           0.0023204,           0.0096299,           0.0096299,           0.0096299
                  14,            0.041317,            0.041406,           0.0028602,             0.82481,             0.65869,             0.76562,             0.40239,            0.036183,            0.051606,            0.002397,           0.0096299,           0.0096299,           0.0096299
                  15,            0.039204,            0.038046,           0.0024836,             0.88356,             0.68641,             0.80552,             0.42958,            0.034354,            0.049233,           0.0020416,           0.0095717,           0.0095717,           0.0095717
                  16,            0.038183,            0.037908,           0.0024644,             0.82969,             0.71947,             0.80056,             0.44543,            0.033667,            0.049146,           0.0019541,           0.0095095,           0.0095095,           0.0095095
                  17,            0.037818,            0.035951,           0.0022034,             0.80401,             0.72775,             0.78923,             0.43763,            0.033835,            0.048851,           0.0020878,           0.0094434,           0.0094434,           0.0094434
                  18,            0.037176,            0.037307,           0.0021456,              0.8508,             0.71533,             0.80305,             0.45301,            0.032945,            0.047638,           0.0019876,           0.0093733,           0.0093733,           0.0093733
                  19,            0.037176,            0.038746,           0.0021447,             0.86058,             0.72673,             0.82076,             0.47434,            0.032684,            0.048045,           0.0017429,           0.0092995,           0.0092995,           0.0092995
                  20,            0.036452,            0.037416,           0.0021224,             0.82517,             0.77729,             0.82539,             0.46034,            0.032611,            0.048474,           0.0016198,           0.0092219,           0.0092219,           0.0092219
                  21,            0.036261,            0.037935,           0.0020299,             0.84362,             0.73183,             0.81286,             0.47682,            0.031851,            0.047088,           0.0017266,           0.0091406,           0.0091406,           0.0091406
                  22,            0.035303,            0.036645,           0.0019285,             0.87326,             0.73528,             0.83362,             0.47144,            0.032354,             0.04696,            0.001622,           0.0090557,           0.0090557,           0.0090557
                  23,            0.035885,            0.037953,            0.002003,             0.85431,             0.76072,             0.83664,              0.4871,             0.03181,            0.046915,           0.0014891,           0.0089673,           0.0089673,           0.0089673
                  24,            0.035096,            0.036218,           0.0017975,             0.85932,             0.76455,             0.84793,             0.49513,            0.031692,            0.045813,           0.0013917,           0.0088755,           0.0088755,           0.0088755
                  25,            0.035292,            0.039125,           0.0018419,             0.85099,             0.76733,             0.83861,             0.48874,            0.031344,            0.046306,           0.0016328,           0.0087804,           0.0087804,           0.0087804
                  26,            0.034586,            0.036178,           0.0017345,             0.86078,             0.77346,             0.84391,             0.49823,            0.031215,            0.045568,           0.0013786,            0.008682,            0.008682,            0.008682
